year,city,country,avg_temp,gbl_avg_temp
1832,Belo Horizonte,Brazil,20.31,7.45
1833,Belo Horizonte,Brazil,21.29,8.01
1834,Belo Horizonte,Brazil,20.58,8.15
1835,Belo Horizonte,Brazil,19.99,7.39
1836,Belo Horizonte,Brazil,20.21,7.70
1837,Belo Horizonte,Brazil,19.65,7.38
1838,Belo Horizonte,Brazil,20.09,7.51
1839,Belo Horizonte,Brazil,19.89,7.63
1840,Belo Horizonte,Brazil,20.57,7.80
1841,Belo Horizonte,Brazil,20.26,7.69
1842,Belo Horizonte,Brazil,20.69,8.02
1843,Belo Horizonte,Brazil,20.83,8.17
1844,Belo Horizonte,Brazil,,7.65
1845,Belo Horizonte,Brazil,,7.85
1846,Belo Horizonte,Brazil,,8.55
1847,Belo Horizonte,Brazil,,8.09
1848,Belo Horizonte,Brazil,,7.98
1849,Belo Horizonte,Brazil,,7.98
1850,Belo Horizonte,Brazil,,7.90
1851,Belo Horizonte,Brazil,20.80,8.18
1852,Belo Horizonte,Brazil,20.96,8.10
1853,Belo Horizonte,Brazil,20.98,8.04
1854,Belo Horizonte,Brazil,21.06,8.21
1855,Belo Horizonte,Brazil,21.10,8.11
1856,Belo Horizonte,Brazil,20.14,8.00
1857,Belo Horizonte,Brazil,20.62,7.76
1858,Belo Horizonte,Brazil,19.79,8.10
1859,Belo Horizonte,Brazil,20.43,8.25
1860,Belo Horizonte,Brazil,21.13,7.96
1861,Belo Horizonte,Brazil,20.34,7.85
1862,Belo Horizonte,Brazil,20.30,7.56
1863,Belo Horizonte,Brazil,20.33,8.11
1864,Belo Horizonte,Brazil,20.33,7.98
1865,Belo Horizonte,Brazil,20.24,8.18
1866,Belo Horizonte,Brazil,20.44,8.29
1867,Belo Horizonte,Brazil,20.61,8.44
1868,Belo Horizonte,Brazil,21.46,8.25
1869,Belo Horizonte,Brazil,21.40,8.43
1870,Belo Horizonte,Brazil,21.38,8.20
1871,Belo Horizonte,Brazil,21.07,8.12
1872,Belo Horizonte,Brazil,21.00,8.19
1873,Belo Horizonte,Brazil,21.22,8.35
1874,Belo Horizonte,Brazil,20.58,8.43
1875,Belo Horizonte,Brazil,20.14,7.86
1876,Belo Horizonte,Brazil,20.39,8.08
1877,Belo Horizonte,Brazil,21.13,8.54
1878,Belo Horizonte,Brazil,21.55,8.83
1879,Belo Horizonte,Brazil,20.20,8.17
1880,Belo Horizonte,Brazil,21.18,8.12
1881,Belo Horizonte,Brazil,20.61,8.27
1882,Belo Horizonte,Brazil,20.05,8.13
1883,Belo Horizonte,Brazil,20.29,7.98
1884,Belo Horizonte,Brazil,20.17,7.77
1885,Belo Horizonte,Brazil,21.05,7.92
1886,Belo Horizonte,Brazil,20.31,7.95
1887,Belo Horizonte,Brazil,20.80,7.91
1888,Belo Horizonte,Brazil,21.17,8.09
1889,Belo Horizonte,Brazil,21.40,8.32
1890,Belo Horizonte,Brazil,20.63,7.97
1891,Belo Horizonte,Brazil,20.83,8.02
1892,Belo Horizonte,Brazil,20.62,8.07
1893,Belo Horizonte,Brazil,20.01,8.06
1894,Belo Horizonte,Brazil,20.89,8.16
1895,Belo Horizonte,Brazil,20.67,8.15
1896,Belo Horizonte,Brazil,20.70,8.21
1897,Belo Horizonte,Brazil,20.65,8.29
1898,Belo Horizonte,Brazil,20.90,8.18
1899,Belo Horizonte,Brazil,21.17,8.40
1900,Belo Horizonte,Brazil,20.94,8.50
1901,Belo Horizonte,Brazil,20.74,8.54
1902,Belo Horizonte,Brazil,21.24,8.30
1903,Belo Horizonte,Brazil,21.00,8.22
1904,Belo Horizonte,Brazil,20.03,8.09
1905,Belo Horizonte,Brazil,21.29,8.23
1906,Belo Horizonte,Brazil,20.93,8.38
1907,Belo Horizonte,Brazil,20.63,7.95
1908,Belo Horizonte,Brazil,20.95,8.19
1909,Belo Horizonte,Brazil,20.56,8.18
1910,Belo Horizonte,Brazil,20.81,8.22
1911,Belo Horizonte,Brazil,20.70,8.18
1912,Belo Horizonte,Brazil,20.73,8.17
1913,Belo Horizonte,Brazil,21.04,8.30
1914,Belo Horizonte,Brazil,21.46,8.59
1915,Belo Horizonte,Brazil,21.46,8.59
1916,Belo Horizonte,Brazil,20.83,8.23
1917,Belo Horizonte,Brazil,20.02,8.02
1918,Belo Horizonte,Brazil,20.52,8.13
1919,Belo Horizonte,Brazil,20.91,8.38
1920,Belo Horizonte,Brazil,20.79,8.36
1921,Belo Horizonte,Brazil,20.65,8.57
1922,Belo Horizonte,Brazil,21.15,8.41
1923,Belo Horizonte,Brazil,20.79,8.42
1924,Belo Horizonte,Brazil,20.70,8.51
1925,Belo Horizonte,Brazil,20.77,8.53
1926,Belo Horizonte,Brazil,21.05,8.73
1927,Belo Horizonte,Brazil,21.13,8.52
1928,Belo Horizonte,Brazil,21.43,8.63
1929,Belo Horizonte,Brazil,21.12,8.24
1930,Belo Horizonte,Brazil,21.27,8.63
1931,Belo Horizonte,Brazil,20.99,8.72
1932,Belo Horizonte,Brazil,21.54,8.71
1933,Belo Horizonte,Brazil,20.48,8.34
1934,Belo Horizonte,Brazil,21.11,8.63
1935,Belo Horizonte,Brazil,21.27,8.52
1936,Belo Horizonte,Brazil,21.37,8.55
1937,Belo Horizonte,Brazil,21.04,8.70
1938,Belo Horizonte,Brazil,21.26,8.86
1939,Belo Horizonte,Brazil,21.39,8.76
1940,Belo Horizonte,Brazil,21.47,8.76
1941,Belo Horizonte,Brazil,21.49,8.77
1942,Belo Horizonte,Brazil,21.16,8.73
1943,Belo Horizonte,Brazil,20.74,8.76
1944,Belo Horizonte,Brazil,21.10,8.85
1945,Belo Horizonte,Brazil,20.77,8.58
1946,Belo Horizonte,Brazil,21.55,8.68
1947,Belo Horizonte,Brazil,20.84,8.80
1948,Belo Horizonte,Brazil,21.14,8.75
1949,Belo Horizonte,Brazil,20.73,8.59
1950,Belo Horizonte,Brazil,21.11,8.37
1951,Belo Horizonte,Brazil,21.13,8.63
1952,Belo Horizonte,Brazil,21.14,8.64
1953,Belo Horizonte,Brazil,21.17,8.87
1954,Belo Horizonte,Brazil,21.65,8.56
1955,Belo Horizonte,Brazil,20.95,8.63
1956,Belo Horizonte,Brazil,20.67,8.28
1957,Belo Horizonte,Brazil,20.96,8.73
1958,Belo Horizonte,Brazil,21.49,8.77
1959,Belo Horizonte,Brazil,21.90,8.73
1960,Belo Horizonte,Brazil,21.03,8.58
1961,Belo Horizonte,Brazil,21.69,8.80
1962,Belo Horizonte,Brazil,20.74,8.75
1963,Belo Horizonte,Brazil,21.95,8.86
1964,Belo Horizonte,Brazil,20.73,8.41
1965,Belo Horizonte,Brazil,21.32,8.53
1966,Belo Horizonte,Brazil,21.41,8.60
1967,Belo Horizonte,Brazil,21.53,8.70
1968,Belo Horizonte,Brazil,20.51,8.52
1969,Belo Horizonte,Brazil,21.66,8.60
1970,Belo Horizonte,Brazil,21.43,8.70
1971,Belo Horizonte,Brazil,21.02,8.60
1972,Belo Horizonte,Brazil,21.61,8.50
1973,Belo Horizonte,Brazil,21.87,8.95
1974,Belo Horizonte,Brazil,21.14,8.47
1975,Belo Horizonte,Brazil,20.93,8.74
1976,Belo Horizonte,Brazil,21.07,8.35
1977,Belo Horizonte,Brazil,21.68,8.85
1978,Belo Horizonte,Brazil,20.94,8.69
1979,Belo Horizonte,Brazil,20.87,8.73
1980,Belo Horizonte,Brazil,21.63,8.98
1981,Belo Horizonte,Brazil,21.19,9.17
1982,Belo Horizonte,Brazil,21.50,8.64
1983,Belo Horizonte,Brazil,21.48,9.03
1984,Belo Horizonte,Brazil,22.14,8.69
1985,Belo Horizonte,Brazil,21.39,8.66
1986,Belo Horizonte,Brazil,21.84,8.83
1987,Belo Horizonte,Brazil,22.05,8.99
1988,Belo Horizonte,Brazil,21.63,9.20
1989,Belo Horizonte,Brazil,21.13,8.92
1990,Belo Horizonte,Brazil,21.88,9.23
1991,Belo Horizonte,Brazil,21.43,9.18
1992,Belo Horizonte,Brazil,21.35,8.84
1993,Belo Horizonte,Brazil,21.94,8.87
1994,Belo Horizonte,Brazil,21.91,9.04
1995,Belo Horizonte,Brazil,22.07,9.35
1996,Belo Horizonte,Brazil,21.56,9.04
1997,Belo Horizonte,Brazil,21.91,9.20
1998,Belo Horizonte,Brazil,22.35,9.52
1999,Belo Horizonte,Brazil,21.59,9.29
2000,Belo Horizonte,Brazil,21.69,9.20
2001,Belo Horizonte,Brazil,22.14,9.41
2002,Belo Horizonte,Brazil,22.50,9.57
2003,Belo Horizonte,Brazil,22.08,9.53
2004,Belo Horizonte,Brazil,21.59,9.32
2005,Belo Horizonte,Brazil,22.05,9.70
2006,Belo Horizonte,Brazil,21.82,9.53
2007,Belo Horizonte,Brazil,22.19,9.73
2008,Belo Horizonte,Brazil,21.86,9.43
2009,Belo Horizonte,Brazil,22.25,9.51
2010,Belo Horizonte,Brazil,22.12,9.70
2011,Belo Horizonte,Brazil,21.74,9.52
2012,Belo Horizonte,Brazil,22.16,9.51
2013,Belo Horizonte,Brazil,21.59,9.61
1832,Campinas,Brazil,18.94,7.45
1833,Campinas,Brazil,19.93,8.01
1834,Campinas,Brazil,19.21,8.15
1835,Campinas,Brazil,18.62,7.39
1836,Campinas,Brazil,18.84,7.70
1837,Campinas,Brazil,18.28,7.38
1838,Campinas,Brazil,18.72,7.51
1839,Campinas,Brazil,18.52,7.63
1840,Campinas,Brazil,19.20,7.80
1841,Campinas,Brazil,18.89,7.69
1842,Campinas,Brazil,19.32,8.02
1843,Campinas,Brazil,19.46,8.17
1844,Campinas,Brazil,,7.65
1845,Campinas,Brazil,,7.85
1846,Campinas,Brazil,,8.55
1847,Campinas,Brazil,,8.09
1848,Campinas,Brazil,,7.98
1849,Campinas,Brazil,,7.98
1850,Campinas,Brazil,,7.90
1851,Campinas,Brazil,19.44,8.18
1852,Campinas,Brazil,19.60,8.10
1853,Campinas,Brazil,19.61,8.04
1854,Campinas,Brazil,19.70,8.21
1855,Campinas,Brazil,19.70,8.11
1856,Campinas,Brazil,18.79,8.00
1857,Campinas,Brazil,19.39,7.76
1858,Campinas,Brazil,18.39,8.10
1859,Campinas,Brazil,19.05,8.25
1860,Campinas,Brazil,19.73,7.96
1861,Campinas,Brazil,18.99,7.85
1862,Campinas,Brazil,19.01,7.56
1863,Campinas,Brazil,18.91,8.11
1864,Campinas,Brazil,18.99,7.98
1865,Campinas,Brazil,18.95,8.18
1866,Campinas,Brazil,19.10,8.29
1867,Campinas,Brazil,19.21,8.44
1868,Campinas,Brazil,20.16,8.25
1869,Campinas,Brazil,20.01,8.43
1870,Campinas,Brazil,20.03,8.20
1871,Campinas,Brazil,19.65,8.12
1872,Campinas,Brazil,19.63,8.19
1873,Campinas,Brazil,19.84,8.35
1874,Campinas,Brazil,19.07,8.43
1875,Campinas,Brazil,18.76,7.86
1876,Campinas,Brazil,19.00,8.08
1877,Campinas,Brazil,19.83,8.54
1878,Campinas,Brazil,20.02,8.83
1879,Campinas,Brazil,18.78,8.17
1880,Campinas,Brazil,19.73,8.12
1881,Campinas,Brazil,19.23,8.27
1882,Campinas,Brazil,18.62,8.13
1883,Campinas,Brazil,18.93,7.98
1884,Campinas,Brazil,18.86,7.77
1885,Campinas,Brazil,19.80,7.92
1886,Campinas,Brazil,18.93,7.95
1887,Campinas,Brazil,19.45,7.91
1888,Campinas,Brazil,20.12,8.09
1889,Campinas,Brazil,20.03,8.32
1890,Campinas,Brazil,19.17,7.97
1891,Campinas,Brazil,19.56,8.02
1892,Campinas,Brazil,19.17,8.07
1893,Campinas,Brazil,18.49,8.06
1894,Campinas,Brazil,19.48,8.16
1895,Campinas,Brazil,19.43,8.15
1896,Campinas,Brazil,19.45,8.21
1897,Campinas,Brazil,19.51,8.29
1898,Campinas,Brazil,19.54,8.18
1899,Campinas,Brazil,20.09,8.40
1900,Campinas,Brazil,19.71,8.50
1901,Campinas,Brazil,19.15,8.54
1902,Campinas,Brazil,19.87,8.30
1903,Campinas,Brazil,19.44,8.22
1904,Campinas,Brazil,19.02,8.09
1905,Campinas,Brazil,19.61,8.23
1906,Campinas,Brazil,19.49,8.38
1907,Campinas,Brazil,19.18,7.95
1908,Campinas,Brazil,19.22,8.19
1909,Campinas,Brazil,18.98,8.18
1910,Campinas,Brazil,19.15,8.22
1911,Campinas,Brazil,19.02,8.18
1912,Campinas,Brazil,19.32,8.17
1913,Campinas,Brazil,19.72,8.30
1914,Campinas,Brazil,20.37,8.59
1915,Campinas,Brazil,20.12,8.59
1916,Campinas,Brazil,19.53,8.23
1917,Campinas,Brazil,18.43,8.02
1918,Campinas,Brazil,19.24,8.13
1919,Campinas,Brazil,19.88,8.38
1920,Campinas,Brazil,19.56,8.36
1921,Campinas,Brazil,19.37,8.57
1922,Campinas,Brazil,19.85,8.41
1923,Campinas,Brazil,19.58,8.42
1924,Campinas,Brazil,19.13,8.51
1925,Campinas,Brazil,19.52,8.53
1926,Campinas,Brazil,19.78,8.73
1927,Campinas,Brazil,19.56,8.52
1928,Campinas,Brazil,20.08,8.63
1929,Campinas,Brazil,19.70,8.24
1930,Campinas,Brazil,20.09,8.63
1931,Campinas,Brazil,19.35,8.72
1932,Campinas,Brazil,20.18,8.71
1933,Campinas,Brazil,18.97,8.34
1934,Campinas,Brazil,19.87,8.63
1935,Campinas,Brazil,19.73,8.52
1936,Campinas,Brazil,20.01,8.55
1937,Campinas,Brazil,19.50,8.70
1938,Campinas,Brazil,19.83,8.86
1939,Campinas,Brazil,19.93,8.76
1940,Campinas,Brazil,20.35,8.76
1941,Campinas,Brazil,20.18,8.77
1942,Campinas,Brazil,19.68,8.73
1943,Campinas,Brazil,19.63,8.76
1944,Campinas,Brazil,19.99,8.85
1945,Campinas,Brazil,19.57,8.58
1946,Campinas,Brazil,19.91,8.68
1947,Campinas,Brazil,19.25,8.80
1948,Campinas,Brazil,19.64,8.75
1949,Campinas,Brazil,19.40,8.59
1950,Campinas,Brazil,19.85,8.37
1951,Campinas,Brazil,19.32,8.63
1952,Campinas,Brazil,19.91,8.64
1953,Campinas,Brazil,19.96,8.87
1954,Campinas,Brazil,20.20,8.56
1955,Campinas,Brazil,19.55,8.63
1956,Campinas,Brazil,19.26,8.28
1957,Campinas,Brazil,19.67,8.73
1958,Campinas,Brazil,20.33,8.77
1959,Campinas,Brazil,20.49,8.73
1960,Campinas,Brazil,19.68,8.58
1961,Campinas,Brazil,20.57,8.80
1962,Campinas,Brazil,19.09,8.75
1963,Campinas,Brazil,20.40,8.86
1964,Campinas,Brazil,19.25,8.41
1965,Campinas,Brazil,20.00,8.53
1966,Campinas,Brazil,20.13,8.60
1967,Campinas,Brazil,20.16,8.70
1968,Campinas,Brazil,19.16,8.52
1969,Campinas,Brazil,20.14,8.60
1970,Campinas,Brazil,20.06,8.70
1971,Campinas,Brazil,19.78,8.60
1972,Campinas,Brazil,20.13,8.50
1973,Campinas,Brazil,20.21,8.95
1974,Campinas,Brazil,19.67,8.47
1975,Campinas,Brazil,19.82,8.74
1976,Campinas,Brazil,19.48,8.35
1977,Campinas,Brazil,20.84,8.85
1978,Campinas,Brazil,19.94,8.69
1979,Campinas,Brazil,19.68,8.73
1980,Campinas,Brazil,20.28,8.98
1981,Campinas,Brazil,19.90,9.17
1982,Campinas,Brazil,19.95,8.64
1983,Campinas,Brazil,20.06,9.03
1984,Campinas,Brazil,20.56,8.69
1985,Campinas,Brazil,20.07,8.66
1986,Campinas,Brazil,20.49,8.83
1987,Campinas,Brazil,20.34,8.99
1988,Campinas,Brazil,19.93,9.20
1989,Campinas,Brazil,19.66,8.92
1990,Campinas,Brazil,20.29,9.23
1991,Campinas,Brazil,20.13,9.18
1992,Campinas,Brazil,20.21,8.84
1993,Campinas,Brazil,20.49,8.87
1994,Campinas,Brazil,20.77,9.04
1995,Campinas,Brazil,20.61,9.35
1996,Campinas,Brazil,20.18,9.04
1997,Campinas,Brazil,20.77,9.20
1998,Campinas,Brazil,20.71,9.52
1999,Campinas,Brazil,20.04,9.29
2000,Campinas,Brazil,20.32,9.20
2001,Campinas,Brazil,20.96,9.41
2002,Campinas,Brazil,21.30,9.57
2003,Campinas,Brazil,20.76,9.53
2004,Campinas,Brazil,20.05,9.32
2005,Campinas,Brazil,20.78,9.70
2006,Campinas,Brazil,20.60,9.53
2007,Campinas,Brazil,20.93,9.73
2008,Campinas,Brazil,20.22,9.43
2009,Campinas,Brazil,20.78,9.51
2010,Campinas,Brazil,20.72,9.70
2011,Campinas,Brazil,20.33,9.52
2012,Campinas,Brazil,21.02,9.51
2013,Campinas,Brazil,20.07,9.61
1832,Colombo,Brazil,16.60,7.45
1833,Colombo,Brazil,17.48,8.01
1834,Colombo,Brazil,16.95,8.15
1835,Colombo,Brazil,16.28,7.39
1836,Colombo,Brazil,16.56,7.70
1837,Colombo,Brazil,16.08,7.38
1838,Colombo,Brazil,16.42,7.51
1839,Colombo,Brazil,16.30,7.63
1840,Colombo,Brazil,16.86,7.80
1841,Colombo,Brazil,16.59,7.69
1842,Colombo,Brazil,17.01,8.02
1843,Colombo,Brazil,17.14,8.17
1844,Colombo,Brazil,,7.65
1845,Colombo,Brazil,,7.85
1846,Colombo,Brazil,,8.55
1847,Colombo,Brazil,,8.09
1848,Colombo,Brazil,,7.98
1849,Colombo,Brazil,,7.98
1850,Colombo,Brazil,,7.90
1851,Colombo,Brazil,17.12,8.18
1852,Colombo,Brazil,17.21,8.10
1853,Colombo,Brazil,17.21,8.04
1854,Colombo,Brazil,17.33,8.21
1855,Colombo,Brazil,17.26,8.11
1856,Colombo,Brazil,16.59,8.00
1857,Colombo,Brazil,17.14,7.76
1858,Colombo,Brazil,16.26,8.10
1859,Colombo,Brazil,16.86,8.25
1860,Colombo,Brazil,17.26,7.96
1861,Colombo,Brazil,16.73,7.85
1862,Colombo,Brazil,16.78,7.56
1863,Colombo,Brazil,16.63,8.11
1864,Colombo,Brazil,16.76,7.98
1865,Colombo,Brazil,16.87,8.18
1866,Colombo,Brazil,16.92,8.29
1867,Colombo,Brazil,16.95,8.44
1868,Colombo,Brazil,17.76,8.25
1869,Colombo,Brazil,17.54,8.43
1870,Colombo,Brazil,17.58,8.20
1871,Colombo,Brazil,17.18,8.12
1872,Colombo,Brazil,17.27,8.19
1873,Colombo,Brazil,17.48,8.35
1874,Colombo,Brazil,16.66,8.43
1875,Colombo,Brazil,16.48,7.86
1876,Colombo,Brazil,16.75,8.08
1877,Colombo,Brazil,17.68,8.54
1878,Colombo,Brazil,17.45,8.83
1879,Colombo,Brazil,16.54,8.17
1880,Colombo,Brazil,17.17,8.12
1881,Colombo,Brazil,16.97,8.27
1882,Colombo,Brazil,16.40,8.13
1883,Colombo,Brazil,16.67,7.98
1884,Colombo,Brazil,16.68,7.77
1885,Colombo,Brazil,17.58,7.92
1886,Colombo,Brazil,16.69,7.95
1887,Colombo,Brazil,17.14,7.91
1888,Colombo,Brazil,17.71,8.09
1889,Colombo,Brazil,17.54,8.32
1890,Colombo,Brazil,16.68,7.97
1891,Colombo,Brazil,17.27,8.02
1892,Colombo,Brazil,16.84,8.07
1893,Colombo,Brazil,16.17,8.06
1894,Colombo,Brazil,17.02,8.16
1895,Colombo,Brazil,17.34,8.15
1896,Colombo,Brazil,17.39,8.21
1897,Colombo,Brazil,17.43,8.29
1898,Colombo,Brazil,17.01,8.18
1899,Colombo,Brazil,17.64,8.40
1900,Colombo,Brazil,17.65,8.50
1901,Colombo,Brazil,16.96,8.54
1902,Colombo,Brazil,17.76,8.30
1903,Colombo,Brazil,17.26,8.22
1904,Colombo,Brazil,16.79,8.09
1905,Colombo,Brazil,17.16,8.23
1906,Colombo,Brazil,17.28,8.38
1907,Colombo,Brazil,16.89,7.95
1908,Colombo,Brazil,16.76,8.19
1909,Colombo,Brazil,16.53,8.18
1910,Colombo,Brazil,16.93,8.22
1911,Colombo,Brazil,16.55,8.18
1912,Colombo,Brazil,17.13,8.17
1913,Colombo,Brazil,17.46,8.30
1914,Colombo,Brazil,18.10,8.59
1915,Colombo,Brazil,17.72,8.59
1916,Colombo,Brazil,17.12,8.23
1917,Colombo,Brazil,16.15,8.02
1918,Colombo,Brazil,17.14,8.13
1919,Colombo,Brazil,17.85,8.38
1920,Colombo,Brazil,17.44,8.36
1921,Colombo,Brazil,17.06,8.57
1922,Colombo,Brazil,17.41,8.41
1923,Colombo,Brazil,17.31,8.42
1924,Colombo,Brazil,16.68,8.51
1925,Colombo,Brazil,17.31,8.53
1926,Colombo,Brazil,17.68,8.73
1927,Colombo,Brazil,17.32,8.52
1928,Colombo,Brazil,17.70,8.63
1929,Colombo,Brazil,17.26,8.24
1930,Colombo,Brazil,17.72,8.63
1931,Colombo,Brazil,17.10,8.72
1932,Colombo,Brazil,17.88,8.71
1933,Colombo,Brazil,17.02,8.34
1934,Colombo,Brazil,17.66,8.63
1935,Colombo,Brazil,17.50,8.52
1936,Colombo,Brazil,17.86,8.55
1937,Colombo,Brazil,17.27,8.70
1938,Colombo,Brazil,17.48,8.86
1939,Colombo,Brazil,17.59,8.76
1940,Colombo,Brazil,18.11,8.76
1941,Colombo,Brazil,17.49,8.77
1942,Colombo,Brazil,16.94,8.73
1943,Colombo,Brazil,17.22,8.76
1944,Colombo,Brazil,17.70,8.85
1945,Colombo,Brazil,17.45,8.58
1946,Colombo,Brazil,17.45,8.68
1947,Colombo,Brazil,17.01,8.80
1948,Colombo,Brazil,17.54,8.75
1949,Colombo,Brazil,17.46,8.59
1950,Colombo,Brazil,17.63,8.37
1951,Colombo,Brazil,17.02,8.63
1952,Colombo,Brazil,17.56,8.64
1953,Colombo,Brazil,17.68,8.87
1954,Colombo,Brazil,17.79,8.56
1955,Colombo,Brazil,17.29,8.63
1956,Colombo,Brazil,16.96,8.28
1957,Colombo,Brazil,17.40,8.73
1958,Colombo,Brazil,17.99,8.77
1959,Colombo,Brazil,18.07,8.73
1960,Colombo,Brazil,17.35,8.58
1961,Colombo,Brazil,18.32,8.80
1962,Colombo,Brazil,16.79,8.75
1963,Colombo,Brazil,18.18,8.86
1964,Colombo,Brazil,17.12,8.41
1965,Colombo,Brazil,17.66,8.53
1966,Colombo,Brazil,17.82,8.60
1967,Colombo,Brazil,18.03,8.70
1968,Colombo,Brazil,17.09,8.52
1969,Colombo,Brazil,17.67,8.60
1970,Colombo,Brazil,17.66,8.70
1971,Colombo,Brazil,17.33,8.60
1972,Colombo,Brazil,17.61,8.50
1973,Colombo,Brazil,17.85,8.95
1974,Colombo,Brazil,17.41,8.47
1975,Colombo,Brazil,17.58,8.74
1976,Colombo,Brazil,17.08,8.35
1977,Colombo,Brazil,18.64,8.85
1978,Colombo,Brazil,17.82,8.69
1979,Colombo,Brazil,17.20,8.73
1980,Colombo,Brazil,17.88,8.98
1981,Colombo,Brazil,17.73,9.17
1982,Colombo,Brazil,17.97,8.64
1983,Colombo,Brazil,17.75,9.03
1984,Colombo,Brazil,18.15,8.69
1985,Colombo,Brazil,18.06,8.66
1986,Colombo,Brazil,18.24,8.83
1987,Colombo,Brazil,17.75,8.99
1988,Colombo,Brazil,17.59,9.20
1989,Colombo,Brazil,17.22,8.92
1990,Colombo,Brazil,17.77,9.23
1991,Colombo,Brazil,17.95,9.18
1992,Colombo,Brazil,17.80,8.84
1993,Colombo,Brazil,17.93,8.87
1994,Colombo,Brazil,18.42,9.04
1995,Colombo,Brazil,18.27,9.35
1996,Colombo,Brazil,17.83,9.04
1997,Colombo,Brazil,18.36,9.20
1998,Colombo,Brazil,18.20,9.52
1999,Colombo,Brazil,17.66,9.29
2000,Colombo,Brazil,18.01,9.20
2001,Colombo,Brazil,18.67,9.41
2002,Colombo,Brazil,19.09,9.57
2003,Colombo,Brazil,18.26,9.53
2004,Colombo,Brazil,17.88,9.32
2005,Colombo,Brazil,18.53,9.70
2006,Colombo,Brazil,18.47,9.53
2007,Colombo,Brazil,18.66,9.73
2008,Colombo,Brazil,17.88,9.43
2009,Colombo,Brazil,18.38,9.51
2010,Colombo,Brazil,18.18,9.70
2011,Colombo,Brazil,18.01,9.52
2012,Colombo,Brazil,18.80,9.51
2013,Colombo,Brazil,17.57,9.61
1832,Curitiba,Brazil,16.60,7.45
1833,Curitiba,Brazil,17.48,8.01
1834,Curitiba,Brazil,16.95,8.15
1835,Curitiba,Brazil,16.28,7.39
1836,Curitiba,Brazil,16.56,7.70
1837,Curitiba,Brazil,16.08,7.38
1838,Curitiba,Brazil,16.42,7.51
1839,Curitiba,Brazil,16.30,7.63
1840,Curitiba,Brazil,16.86,7.80
1841,Curitiba,Brazil,16.59,7.69
1842,Curitiba,Brazil,17.01,8.02
1843,Curitiba,Brazil,17.14,8.17
1844,Curitiba,Brazil,,7.65
1845,Curitiba,Brazil,,7.85
1846,Curitiba,Brazil,,8.55
1847,Curitiba,Brazil,,8.09
1848,Curitiba,Brazil,,7.98
1849,Curitiba,Brazil,,7.98
1850,Curitiba,Brazil,,7.90
1851,Curitiba,Brazil,17.12,8.18
1852,Curitiba,Brazil,17.21,8.10
1853,Curitiba,Brazil,17.21,8.04
1854,Curitiba,Brazil,17.33,8.21
1855,Curitiba,Brazil,17.26,8.11
1856,Curitiba,Brazil,16.59,8.00
1857,Curitiba,Brazil,17.14,7.76
1858,Curitiba,Brazil,16.26,8.10
1859,Curitiba,Brazil,16.86,8.25
1860,Curitiba,Brazil,17.26,7.96
1861,Curitiba,Brazil,16.73,7.85
1862,Curitiba,Brazil,16.78,7.56
1863,Curitiba,Brazil,16.63,8.11
1864,Curitiba,Brazil,16.76,7.98
1865,Curitiba,Brazil,16.87,8.18
1866,Curitiba,Brazil,16.92,8.29
1867,Curitiba,Brazil,16.95,8.44
1868,Curitiba,Brazil,17.76,8.25
1869,Curitiba,Brazil,17.54,8.43
1870,Curitiba,Brazil,17.58,8.20
1871,Curitiba,Brazil,17.18,8.12
1872,Curitiba,Brazil,17.27,8.19
1873,Curitiba,Brazil,17.48,8.35
1874,Curitiba,Brazil,16.66,8.43
1875,Curitiba,Brazil,16.48,7.86
1876,Curitiba,Brazil,16.75,8.08
1877,Curitiba,Brazil,17.68,8.54
1878,Curitiba,Brazil,17.45,8.83
1879,Curitiba,Brazil,16.54,8.17
1880,Curitiba,Brazil,17.17,8.12
1881,Curitiba,Brazil,16.97,8.27
1882,Curitiba,Brazil,16.40,8.13
1883,Curitiba,Brazil,16.67,7.98
1884,Curitiba,Brazil,16.68,7.77
1885,Curitiba,Brazil,17.58,7.92
1886,Curitiba,Brazil,16.69,7.95
1887,Curitiba,Brazil,17.14,7.91
1888,Curitiba,Brazil,17.71,8.09
1889,Curitiba,Brazil,17.54,8.32
1890,Curitiba,Brazil,16.68,7.97
1891,Curitiba,Brazil,17.27,8.02
1892,Curitiba,Brazil,16.84,8.07
1893,Curitiba,Brazil,16.17,8.06
1894,Curitiba,Brazil,17.02,8.16
1895,Curitiba,Brazil,17.34,8.15
1896,Curitiba,Brazil,17.39,8.21
1897,Curitiba,Brazil,17.43,8.29
1898,Curitiba,Brazil,17.01,8.18
1899,Curitiba,Brazil,17.64,8.40
1900,Curitiba,Brazil,17.65,8.50
1901,Curitiba,Brazil,16.96,8.54
1902,Curitiba,Brazil,17.76,8.30
1903,Curitiba,Brazil,17.26,8.22
1904,Curitiba,Brazil,16.79,8.09
1905,Curitiba,Brazil,17.16,8.23
1906,Curitiba,Brazil,17.28,8.38
1907,Curitiba,Brazil,16.89,7.95
1908,Curitiba,Brazil,16.76,8.19
1909,Curitiba,Brazil,16.53,8.18
1910,Curitiba,Brazil,16.93,8.22
1911,Curitiba,Brazil,16.55,8.18
1912,Curitiba,Brazil,17.13,8.17
1913,Curitiba,Brazil,17.46,8.30
1914,Curitiba,Brazil,18.10,8.59
1915,Curitiba,Brazil,17.72,8.59
